型式,最大モーメント,平均ラジアル荷重,平均アキシャル荷重,荷重係数,動等価ラジアル荷重,寿命時間,寿命日数,寿命年数,揺動寿命時間,揺動寿命日数,揺動寿命年数,静等価ラジアル荷重,静安全係数
FHA-8C-30,160.60703201478,6.4876000000000005,6.62,"(1, 0.45, 0.4225942455341731)",18.644144686558857,14667127444.54034,611130310.1891809,1674329.6169566598,88002764667.24203,3666781861.1350846,10045977.701739958,18.577944686558858,430.6181407563345
FHA-8C-50,160.60703201478,6.4876000000000005,6.62,"(1, 0.45, 0.4225942455341731)",18.644144686558857,14667127444.54034,611130310.1891809,1674329.6169566598,88002764667.24203,3666781861.1350846,10045977.701739958,18.577944686558858,430.6181407563345
FHA-8C-100,160.60703201478,6.4876000000000005,6.62,"(1, 0.45, 0.4225942455341731)",18.644144686558857,14667127444.54034,611130310.1891809,1674329.6169566598,88002764667.24203,3666781861.1350846,10045977.701739958,18.577944686558858,430.6181407563345
FHA-11C-30,167.74339201478,6.4876000000000005,6.62,"(1, 0.45, 0.4603165841769199)",17.36040668304847,27200163142.13471,1133340130.9222796,3105041.454581588,163200978852.80823,6800040785.533676,18630248.727489524,17.294206683048472,572.4460324452948
FHA-11C-50,167.74339201478,6.4876000000000005,6.62,"(1, 0.45, 0.4603165841769199)",17.36040668304847,27200163142.13471,1133340130.9222796,3105041.454581588,163200978852.80823,6800040785.533676,18630248.727489524,17.294206683048472,572.4460324452948
FHA-11C-100,167.74339201478,6.4876000000000005,6.62,"(1, 0.45, 0.4603165841769199)",17.36040668304847,27200163142.13471,1133340130.9222796,3105041.454581588,163200978852.80823,6800040785.533676,18630248.727489524,17.294206683048472,572.4460324452948
FHA-14C-30,167.74339201478,6.4876000000000005,6.62,"(1, 0.45, 0.5212467816854701)",15.67931822276963,58849365729.51,2452056905.3962502,6717964.124373288,353096194377.06,14712341432.3775,40307784.74623973,15.613118222769632,819.8234213927185
FHA-14C-50,167.74339201478,6.4876000000000005,6.62,"(1, 0.45, 0.5212467816854701)",15.67931822276963,58849365729.51,2452056905.3962502,6717964.124373288,353096194377.06,14712341432.3775,40307784.74623973,15.613118222769632,819.8234213927185
FHA-14C-100,167.74339201478,6.4876000000000005,6.62,"(1, 0.45, 0.5212467816854701)",15.67931822276963,58849365729.51,2452056905.3962502,6717964.124373288,353096194377.06,14712341432.3775,40307784.74623973,15.613118222769632,819.8234213927185
